"CSquare","VME_index","Uncertainty_score","VME_Class","Uncertainty_Class","VME_Class_Name","Conf_Name"
"7405:142:229:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:142:235:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:142:239:2",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:142:239:4",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:142:245:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:142:383:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:142:391:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:142:459:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:142:495:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:142:498:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:142:499:2",2.48117618,0.612372436,0,"1","Low","Medium"
"7405:143:110:2",5,1,3,"NULL","VME","VME"
"7405:143:111:2",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:143:114:3",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:143:120:3",2.504540769,0.534000234,0,"1","Low","Medium"
"7405:143:124:3",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:143:131:4",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:143:133:4",5,1,3,"NULL","VME","VME"
"7405:143:134:2",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:143:134:3",5,1,3,"NULL","VME","VME"
"7405:143:140:1",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:143:143:3",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:143:144:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:143:245:1",5,1,3,"NULL","VME","VME"
"7405:143:245:2",5,1,3,"NULL","VME","VME"
"7405:143:245:3",5,1,3,"NULL","VME","VME"
"7405:143:246:1",5,1,3,"NULL","VME","VME"
"7405:143:247:3",5,1,3,"NULL","VME","VME"
"7405:143:350:4",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:143:361:2",2.304540769,0.279508497,0,"0","Low","Low"
"7405:143:361:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:143:370:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:143:372:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:143:373:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:143:373:3",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:143:380:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:143:393:2",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:143:456:2",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:143:457:2",5,1,3,"NULL","VME","VME"
"7405:143:457:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:143:457:4",2.304540769,0.612372436,0,"1","Low","Medium"
"7405:143:458:1",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:143:458:3",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:143:459:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:143:467:2",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:143:468:1",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:143:468:2",5,1,3,"NULL","VME","VME"
"7405:143:469:2",5,1,3,"NULL","VME","VME"
"7405:143:469:3",5,1,3,"NULL","VME","VME"
"7405:143:469:4",5,1,3,"NULL","VME","VME"
"7405:143:476:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:143:477:2",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:143:486:3",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:143:488:4",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:143:496:4",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:144:351:4",5,1,3,"NULL","VME","VME"
"7405:144:360:1",2.48117618,0.279508497,0,"0","Low","Low"
"7405:144:360:2",5,1,3,"NULL","VME","VME"
"7405:144:360:3",5,1,3,"NULL","VME","VME"
"7405:144:361:1",5,1,3,"NULL","VME","VME"
"7405:144:361:3",5,1,3,"NULL","VME","VME"
"7405:144:370:1",5,1,3,"NULL","VME","VME"
"7405:144:370:2",5,1,3,"NULL","VME","VME"
"7405:144:370:4",5,1,3,"NULL","VME","VME"
"7405:144:371:1",5,1,3,"NULL","VME","VME"
"7405:144:371:3",5,1,3,"NULL","VME","VME"
"7405:144:371:4",5,1,3,"NULL","VME","VME"
"7405:144:372:1",5,1,3,"NULL","VME","VME"
"7405:144:372:2",5,1,3,"NULL","VME","VME"
"7405:144:372:4",5,1,3,"NULL","VME","VME"
"7405:144:373:1",5,1,3,"NULL","VME","VME"
"7405:144:373:3",5,1,3,"NULL","VME","VME"
"7405:144:374:1",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:144:374:3",5,1,3,"NULL","VME","VME"
"7405:144:374:4",5,1,3,"NULL","VME","VME"
"7405:144:382:2",5,1,3,"NULL","VME","VME"
"7405:144:383:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:144:383:4",5,1,3,"NULL","VME","VME"
"7405:144:384:2",5,1,3,"NULL","VME","VME"
"7405:144:384:3",5,1,3,"NULL","VME","VME"
"7405:144:390:2",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:144:393:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:144:394:1",5,1,3,"NULL","VME","VME"
"7405:144:394:2",5,1,3,"NULL","VME","VME"
"7405:144:394:3",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:144:394:4",1.505988048,0.0625,0,"0","Low","Low"
"7405:144:475:3",5,1,3,"NULL","VME","VME"
"7405:144:496:3",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:144:497:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:144:499:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:144:499:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:238:496:2",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:238:496:3",5,1,3,"NULL","VME","VME"
"7405:238:496:4",5,1,3,"NULL","VME","VME"
"7405:238:497:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:239:361:4",5,1,3,"NULL","VME","VME"
"7405:239:363:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:239:374:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:239:384:1",5,1,3,"NULL","VME","VME"
"7405:239:458:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:239:458:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:239:478:3",2.48117618,0.279508497,0,"0","Low","Low"
"7405:239:488:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:245:390:1",5,1,3,"NULL","VME","VME"
"7405:245:390:3",5,1,3,"NULL","VME","VME"
"7405:245:394:2",5,1,3,"NULL","VME","VME"
"7405:245:476:3",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:245:486:2",5,1,3,"NULL","VME","VME"
"7405:245:486:3",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:245:487:1",5,1,3,"NULL","VME","VME"
"7405:245:487:2",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:245:487:3",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:245:488:3",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:245:488:4",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:245:495:2",2.504540769,0.534000234,0,"1","Low","Medium"
"7405:245:495:3",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:245:496:1",2.38117618,0.0625,0,"0","Low","Low"
"7405:245:496:3",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:246:380:2",5,1,3,"NULL","VME","VME"
"7405:246:381:1",5,1,3,"NULL","VME","VME"
"7405:246:381:2",5,1,3,"NULL","VME","VME"
"7405:246:381:3",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:246:383:2",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:246:390:1",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:246:390:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:246:394:2",2.504540769,0.534000234,0,"1","Low","Medium"
"7405:246:475:2",3.351230536,0.279508497,1,"0","Medium","Low"
"7405:246:478:4",3.351230536,0.279508497,1,"0","Medium","Low"
"7405:246:489:1",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:246:495:1",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:247:132:4",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:247:133:2",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:247:133:3",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:247:133:4",5,1,3,"NULL","VME","VME"
"7405:247:134:2",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:247:134:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:247:134:4",5,1,3,"NULL","VME","VME"
"7405:247:141:4",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:247:142:2",3.351230536,0.612372436,1,"1","Medium","Medium"
"7405:247:142:4",2.48117618,0.534000234,0,"1","Low","Medium"
